id,phase,scenario,procedure,required_result,status,evidence_requirement,implementation_status,actual_evidence
R06,ER-1,并行子失败,mesh先成功、shader/material失败,成功部分准确保持/释放，错误保留具体来源,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-partial_late_close.log covers one missing mesh source and other real provider requests held through32 close steps, then all return. It does not exercise successful GPU mesh followed by failed shader/material sibling."
R07,ER-1,停机不是完成,sender set_stopped与set_value分别执行,取消不标READY，operation state等待实际回调结束,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); Real TaskScope/AssetReadPort close with held provider results passes late_close/partial_late_close. A separately controlled set_stopped versus set_value completion pair at the Session resource sender boundary remains unexecuted.
R08,ER-1,重试,失败后显式retry并保留旧在途结果,序号更新，旧token失效，旧资源准确清理,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-retry.log verifies real missing pak source recovery and new request generation; gpu-view_failure.log verifies two distinct actual backend errors with diagnostic capacity1, dropped1 and complete cleanup."
R09,ER-1,背压,上传/control满，保持后重试,不丢请求、不重复注册、无超容量伪成功,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); Reply budget/FIFO and Frame backpressure are tested independently. A Scene resource run proving saturated Control and Upload admission, retained requests and subsequent successful retry remains unexecuted."
R10,ER-1,诊断容量,有限log满且后续又有业务错误,dropped增加但真实操作结果/释放不依赖日志是否保留,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-retry.log verifies real missing pak source recovery and new request generation; gpu-view_failure.log verifies two distinct actual backend errors with diagnostic capacity1, dropped1 and complete cleanup."
X01,ER-1,内容发布重入,observer读取后递归提交同Session,可读取一致状态；递归修改返回BUSY，无半状态,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,SceneSessionTest.cpp + record_failure/late_close probes cover portions; full reentry/startup/timeout/device-lost matrix remains incomplete
X02,ER-1,发布时关闭,在selection/content通知中关闭workspace/session,只登记请求，publisher活到栈结束，后续安全点退出,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-reentrant_close.log: direct committed selection callback sees consistent state; recursive Session close BUSY, Window/Workspace value close intent accepted, active Frame retains publisher/Panes/View until safe point. ER-2 content publication excluded."
X03,ER-1,静止析构,所有owner显式COMPLETE再析构,无应用drain/yield/未知任务执行,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,SceneSessionTest.cpp + record_failure/late_close probes cover portions; full reentry/startup/timeout/device-lost matrix remains incomplete
X04,ER-1,借用未结束,有SceneView/外部合法task借用时Session关闭,保持PENDING，不释放Scene/metadata,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-partial_late_close.log: two actual provider reads held during32 close steps, successful returns required before owners complete. Ordinary View/CPU/GPU borrow closure is covered by image_lifetime; timed stuck-request diagnostics and a distinct externally admitted task-borrow scenario remain unqualified."
X05,ER-1,只关workspace,关闭A workspace但保留Session和其他view,只A的UI/view退出，Session不requestStop,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log + SceneGpuTest.cpp: final Pane id collision retains caller View and rolls registrations back; retry succeeds; closing second Workspace preserves first Workspace, Session and shared history registration."
X06,ER-1,全部应用关闭,有view/资源job/packet时整体退出,按UI→view→session→renderer→window顺序完成,PASS_INTERMEDIATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_INTERMEDIATE,"app-paced-01.log: hidden real app 240 UI iterations, 252 render frames, zero final leases/views/accepted/errors/validation"
X07,ER-1,启动半失败,前几个owner建立后后续startup失败,保留owners进入明确shutdown，不能栈析构泵未知工作,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-application-lifecycle.log: four cold/partial startup states, explicit owner shutdown, repeated close, Toolset stop/destroy exactly once; not thread/device/attach failure injection."
X08,ER-1,关闭超时,故意保留一个未结束请求,报告卡在哪，不强删/伪报成功,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-partial_late_close.log: two actual provider reads held during32 close steps, successful returns required before owners complete. Ordinary View/CPU/GPU borrow closure is covered by image_lifetime; timed stuck-request diagnostics and a distinct externally admitted task-borrow scenario remain unqualified."
X09,ER-1,错误线程,外线程调用owner API,拒绝且源owner/状态不变；不偷偷排无界任务,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base/image_lifetime/reentrant_close.log: 21 fallible Window/Renderer/Session/SceneView/Workspace operations reject foreign thread and preserve owners/history/registrations; actual frame images and Pane action error preserved against foreign helper calls. Unchecked owner-thread-only value/reference accessors are not claimed as a full cross-thread API audit.
X10,ER-1,终局设备丢失,注入实际可控终局failure,隔离使用者按backend策略退役；不伪造fence完成,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-record_failure.log exercises a controlled terminal backend recording failure with exact asynchronous error and safe owner cleanup; no VkDeviceLost/physical-device-loss-specific backend retirement test is claimed.
E01,ER-2,只读门槛,INSPECT_LIVE调用所有内容方法,READ_ONLY/BLOCKED且Registry/history不变,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E02,ER-2,单属性正例,编辑Transform或Light合法值,作者内容、history与预览最终一致,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E03,ER-2,prepare失败,各暂存/校验点失败,内容、selection、cursor、save marker、redo与输入operation不变,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E04,ER-2,no-op,已有redo分支时提交净变化零,不加历史、不截redo、不移动内容state,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E05,ER-2,手势预览,连续多个preview后commit,一条历史；不能再次重复应用已显示增量,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E06,ER-2,手势取消,preview后取消/失焦/换目标,原committed内容不变、预览清除、不留历史,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E07,ER-2,非法预览,有效preview后输入越界/NaN,保留最后有效preview或按明确域契约报错，不写派生值,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E08,ER-2,两入口同历史,Inspector与另一个真实场景输入交替改同目标,回放顺序统一，与Pane生命周期无关,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E09,ER-2,通知失败,模型/history提交后制造通知交付失败,内容仍已提交，记录通知问题，重试不重复业务,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E10,ER-2,保存版本,保存旧snapshot期间再编辑/undo,finish仅标匹配ticket内容状态，不抹新修改,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E11,ER-2,投影失败,作者提交后实际Scene物化失败,模型/history仍一致；UI标不同步，不伪报原操作没执行,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
E12,ER-2,旧写路退出,扫描全部启用字段入口与实际执行,无新History调用旧Journal、无可写Registry逃生,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G01,ER-3,两种typed源,分别打开真实MaterialGraph/FlowGraph,一份各自模型，Editing/NodeCanvas不修改以识别业务,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G02,ER-3,基础操作留存,逐个执行旧创建/连线/断连/移动/删除,原语义和约束保持，typed恢复数据可回放,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G03,ER-3,动态端口,FlowGraph原增删Sequence outputs动作及恢复,关联边/端口身份与顺序准确，不仅改UI列表,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G04,ER-3,组合失败,复合操作中后一步校验/暂存失败,全部live内容/history不变，不能部分提交,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G05,ER-3,原poison负例,迁移旧回滚失败场景,新设计在prepare前拒绝或证明不发生partial apply，旧风险不静默删除,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G06,ER-3,typed memento寿命,删除/回放/裁剪redo/关闭,正确构造析构与code/catalog有效期，无void猜类型,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G07,ER-3,画布过期,旧CanvasStamp和旧session发事件,不改当前模型、无历史追加,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G08,ER-3,同帧多事件,一个frame产生相关两项编辑请求,按原始stamp一次staging提交；后项不因前项加revision被误拒,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G09,ER-3,事件缓冲不足,output容量不足以容纳完整事件批,EVENT_CAPACITY，不应用成功前缀；drag可正确取消/重试,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G10,ER-3,显示借用,Frame输入释放后进入下一frame/重绑,NodeCanvas不保留string_view/span源指针,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G11,ER-3,静止画布,大量节点无source/layout/style变化连续绘制,缓存不每帧全量重建；pan/zoom不改内容历史,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
G12,ER-3,旧后端入口退出,安装消费者与target闭包核对,无DefaultImGui公共头/Editor PUBLIC node_editor依赖，无旧Adapter/私栈,DEFERRED_STAGE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,DEFERRED_STAGE,Outside ER-1; not executed or declared passed
I01,ER-1/ER-4,真实配置身份,读取cache/compile/link/loaded libraries,确为RelWithDebInfo且依赖/产物与测试源码一致,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); qualification.json + diagnostic-qualification.json + qualified-isolation/dll-isolation.json; all/no-op and five installed consumers in two fresh prefixes; actual Toolset loaded-module hashes; source/build/old SDK paths excluded from compile/link rules; regeneration/results.json.
I02,ER-1/ER-4,断言存活,故意坏fixture及非零业务计数,错误非零退出；不被NDEBUG消去业务,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,build-48.log / ctest-09.log 131/131; consumers use intermediate SDK; no final tracked clone or final artifact qualification
I03,ER-1/ER-4,干净安装,新prefix消费者不读source/pinclude,仅所需SDK/模板/导出即可配置和编译,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); qualification.json + diagnostic-qualification.json + qualified-isolation/dll-isolation.json; all/no-op and five installed consumers in two fresh prefixes; actual Toolset loaded-module hashes; source/build/old SDK paths excluded from compile/link rules; regeneration/results.json.
I04,ER-1/ER-4,换位置,移动SDK隔离原prefix重新生成执行,本阶段consumer成功或精确报告限制,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); qualification.json + diagnostic-qualification.json + qualified-isolation/dll-isolation.json; all/no-op and five installed consumers in two fresh prefixes; actual Toolset loaded-module hashes; source/build/old SDK paths excluded from compile/link rules; regeneration/results.json.
I05,ER-1/ER-4,增量生成,改相关头/模板/宏后生成及第二次构建,正确失效；失败不覆盖完整输出；无变化不重写,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); qualification.json + diagnostic-qualification.json + qualified-isolation/dll-isolation.json; all/no-op and five installed consumers in two fresh prefixes; actual Toolset loaded-module hashes; source/build/old SDK paths excluded from compile/link rules; regeneration/results.json.
I06,ER-1/ER-4,无旧路径,消费者搜索旧include/namespace/alias/target,对应阶段删除项确实不可从正式SDK取得,BLOCKED_DELETE_GATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,BLOCKED_DELETE_GATE,"q6 clean tracked aa91ba55 (RelWithDebInfo); New paths pass boundary checks; old formal Workbench/Presenter/RenderPort remain because startup/resource/GUI/deletion gates are incomplete. SDK is a retained-entry candidate, not a legacy-free final ER-1 SDK."
I07,ER-1/ER-4,受影响非Editor,构建runtime/对应真实依赖测试,Player/Simulation不反向依赖Editor；并行script未混入,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); Clean EDITOR all and full runtime/Scene/Simulation/Render CTest coverage; protected main c77bb41e and six Script file hashes unchanged (protected-main-recheck-03.json). No new standalone PLAYER or Android build.
I08,ER-1/ER-4,可取证据,从交付入口读取记录、核验hash,源码/资格/证据身份分开，本地绝对路径不冒充交付,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,build-48.log / ctest-09.log 131/131; consumers use intermediate SDK; no final tracked clone or final artifact qualification
P01,ER-1/ER-4,同量参照,匹配输入/分辨率/view/编译选项跑参照候选,实际完成量、错误/backlog一致，不用少做工作提速,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); cost-pairs/identity.json/pairs.csv and COST-q6.zh-CN.md: five independent alternating-order pairs, exact static pixels and 500+8 completion, identical per-frame-recorded wait boundary; first narrow attribution corrected unequal driver waits. OS CPU/cycles and work/wait scopes explicit; no GPU-duration/allocation/full Application performance equivalence claim."
P02,ER-1/ER-4,静止成本,记录查询重建/分配及UI帧,显示缓存有效，未变化不重复全量构建,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); SceneSession protocol proves stable cached outline identity. Five normal process cost pairs measure work/wait and polling; no owner-attributed allocation or retained-memory ledger for whole UI/Renderer.
P03,ER-1/ER-4,尾部,多次实际resize/资源重试/关闭完成,请求到真实完成时间、峰值代数与保留资源完整记录,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); Five static pairs measure explicit completed close wall time; actual resize/pool/late-resource regressions have lifecycle counters. No matched multi-size resize/retry latency distribution or peak-generation cost sweep.
P04,ER-1/ER-4,有限归因,明显持续回退最多两项窄假设,有依据改，无收益撤回，残余如实交审不无限调优,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); cost-pairs/identity.json/pairs.csv and COST-q6.zh-CN.md: five independent alternating-order pairs, exact static pixels and 500+8 completion, identical per-frame-recorded wait boundary; first narrow attribution corrected unequal driver waits. OS CPU/cycles and work/wait scopes explicit; no GPU-duration/allocation/full Application performance equivalence claim."
P05,ER-1/ER-4,统计范围,核对CPU/GPU/DLL/VM各计数来源,未观察填限制，不把进程峰值当某一owner内存,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); cost-pairs/identity.json/pairs.csv and COST-q6.zh-CN.md: five independent alternating-order pairs, exact static pixels and 500+8 completion, identical per-frame-recorded wait boundary; first narrow attribution corrected unequal driver waits. OS CPU/cycles and work/wait scopes explicit; no GPU-duration/allocation/full Application performance equivalence claim."
P06,ER-1/ER-4,证据不夸大,核对最终结论与原始数据,无GUI运行不称GUI通过，无比较不称性能等价,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); cost-pairs/identity.json/pairs.csv and COST-q6.zh-CN.md: five independent alternating-order pairs, exact static pixels and 500+8 completion, identical per-frame-recorded wait boundary; first narrow attribution corrected unequal driver waits. OS CPU/cycles and work/wait scopes explicit; no GPU-duration/allocation/full Application performance equivalence claim."
